CFSAUID,"Population, 2016"
J0K,139128
K0K,111372
L5M,104868
L9T,103839
K0A,103474
L4N,98663
L0R,97999
V3S,95349
V3W,92447
S0K,89853
L6R,88002
L6Y,87654
G0A,86140
L6A,85794
L5N,84829
T0H,84336
N0G,83818
G0R,83573
L6P,82182
T3K,80792
L7A,80236
N0B,80222
V0N,79501
V4N,78675
T3J,77605
L4J,77214
J0L,75957
M2N,75897
K0L,71343
T3H,71251
L4C,71152
T5T,69914
K2J,68963
T2Z,68438
L4H,68382
G0S,68020
T0M,67484
L6X,67070
V0R,66795
M1B,66108
V0E,65606
T8N,65527
L6M,65493
N0M,64764
T0B,64072
S0G,63488
L5B,63394
J7V,63003
T0C,62701
J0B,62359
L3R,62298
J3Y,61954
T2Y,61344
T0L,61161
L6H,60913
T2A,59641
G0L,59524
T0A,59234
T3G,59025
G0X,58779
M2J,58293
V3R,57844
T1Y,57237
V3B,56524
L3S,56117
V2T,56111
M9V,55959
T0K,55487
L4G,55445
L0S,55265
K1V,54835
M1V,54680
K4A,54524
L4L,54282
V0H,53380
L6S,53308
T3A,53224
V0J,52919
S0A,52641
R0C,52620
J0H,52238
L4E,52207
N0P,52190
K0C,52154
L1V,51910
T6L,51562
L6C,50929
T6W,50904
L5V,50821
T0J,50783
L3T,50669
L1T,50536
S0J,49995
P0M,49750
J0N,49434
K0M,49388
K2G,49222
M5V,49195
V3V,48927
V2S,48647
V2R,48608
J3L,48606
H1G,48556
T4B,48548
M1W,48471
M1K,48434
N0H,48330
S0M,48321
J0E,48182
R0B,48048
R3T,48009
V2X,47944
L7M,47925
L5A,47828
V6Y,47768
K7M,47676
L1N,47572
G0C,47114
T6J,47109
M1E,46943
N0L,46908
L0L,46902
M4C,46866
R0E,46836
L7L,46761
A0A,46587
V5R,46565
N0R,46403
T2J,46394
J0T,46277
R0A,46213
L7G,46057
L4M,45991
T5Y,45947
T1K,45932
J0X,45720
M1P,45571
J5R,45157
T6R,45145
M6H,44950
L3V,44915
L9W,44867
L5L,44860
L3Y,44469
V9B,44244
V4C,44169
C0A,44095
T7X,44071
R0G,44069
K0H,44019
T8A,43987
J6E,43876
N1H,43789
T0E,43729
L1C,43531
V3M,43423
T2X,43339
K9J,43047
E1A,43012
T0G,42905
M6M,42434
H1E,42420
V3A,42397
T2W,42377
H7N,42318
L3X,42239
N1R,42210
L4A,42174
M3N,41958
J7C,41925
T5X,41912
L6V,41853
L1J,41793
J4B,41671
H7W,41619
T3E,41415
M6N,41243
J0J,41213
L1G,41124
S6V,41092
M5A,41078
M6K,40957
V3J,40921
M2R,40792
L1S,40689
M9W,40684
N6G,40677
N0N,40649
N6H,40604
N1E,40591
B0P,40417
L1R,40287
T3M,40268
L9C,40155
M6P,40035
L0G,39873
V2B,39843
J0P,39721
L1K,39697
B0N,39559
S7L,39478
L8E,39398
V3E,39365
V3N,39354
J8T,39349
T9K,39305
B0J,39302
V7C,39252
S7K,39174
M3C,39153
N2E,39149
K0E,38903
V5H,38845
V3C,38818
V9A,38699
V3T,38549
L6T,38451
L4T,38445
M9C,38291
R2M,38195
L4Z,38102
M6E,38041
M8V,37975
M1S,37769
L3P,37764
K1C,37662
V2A,37469
V7E,37357
T3B,37348
H7L,37252
V3H,37222
T6T,37150
L5R,37126
K0G,37097
M3H,37011
E3B,36946
H4L,36795
J7R,36714
M1J,36699
T4R,36570
G1C,36407
V4A,36390
L6E,36356
V2P,36329
H1H,36127
G0W,36076
B0K,35895
L4B,35858
L0M,35844
L4S,35803
M4J,35738
S7H,35686
T6X,35649
J0R,35633
M1C,35626
M9A,35594
S4R,35561
T2K,35544
H1Z,35472
K1T,35432
A0G,35266
R2V,35235
V2Y,35222
M1L,35081
H7P,35056
T5A,35049
V5N,35045
J7K,34964
S4S,34958
H1K,34821
N0E,34772
N6K,34766
T2E,34729
L0K,34722
P6A,34720
M3A,34615
M1T,34588
V1W,34573
V9L,34378
N3T,34317
V1Y,34310
M6S,34299
N3R,34276
J0Z,34120
K1G,34075
N5Y,34037
G0M,34021
L7E,33934
T4N,33829
M9R,33743
K0J,33702
V6X,33695
L3Z,33666
J8P,33621
R2C,33556
V2V,33534
J6A,33489
H1L,33468
T2V,33450
R2K,33413
V1X,33273
N2M,33221
H3S,33125
V9T,33103
V0B,33080
R2G,33030
P0T,33027
T1S,32951
V0K,32908
N5X,32897
T1B,32769
J9P,32766
L2M,32759
S0E,32755
L6Z,32749
J3B,32742
J9J,32714
M6J,32684
M4L,32640
R2P,32557
B2W,32537
H1A,32516
G8Y,32509
T4P,32478
N0J,32428
M9B,32400
J1N,32394
P1B,32345
M2M,32320
K2B,32260
N4S,32254
T5E,32242
B3M,32204
V2N,32137
M6G,32086
K2S,32061
J6W,32007
J3G,31982
J0S,31968
S4T,31932
V5P,31920
T8V,31893
T9E,31710
G6V,31698
L3C,31670
K7K,31621
J1X,31584
M4K,31583
L8K,31449
H1T,31338
H2V,31323
N5A,31302
L1H,31261
S7J,31223
P0H,31187
V1M,31176
S4N,31167
L9H,31125
S7M,31112
V8Z,31079
J9H,31023
K6H,30949
H1R,30903
S0L,30870
N5V,30857
L8L,30825
T5Z,30715
V6P,30697
H3W,30678
L2N,30648
T4C,30566
H4E,30513
N6C,30510
V3K,30495
J7E,30476
M4Y,30472
V5C,30408
A1A,30382
H1X,30366
J2B,30349
R2N,30306
J4L,30266
T6H,30171
T3L,30168
V9N,30080
H7R,30051
H8R,29913
M1R,29858
N2A,29858
N0A,29853
J3E,29847
T6K,29838
J2C,29763
H4N,29755
L6L,29742
T2T,29706
L7P,29700
M1G,29690
L5C,29687
K1K,29499
J4J,29492
H4G,29488
H8N,29465
J0Y,29439
L6B,29411
R7A,29405
J5Y,29382
V6B,29376
H1M,29359
J7Z,29351
V3Z,29265
G5L,29258
G0J,29251
G6P,29233
J8R,29175
J2S,29128
G1H,29105
L4P,28916
H1W,28889
R2W,28874
V0C,28830
V5X,28820
V5S,28773
V9W,28743
H2K,28727
T8H,28688
K1S,28660
K9H,28597
C0B,28575
L9S,28567
M6B,28522
G7H,28516
V3X,28510
K8N,28462
L1Z,28446
P7A,28418
S4V,28386
V9R,28376
N4K,28286
J2G,28283
J2W,28279
H3N,28277
T6M,28187
E3A,28167
G8T,28121
L5J,28089
V1T,27997
V4T,27996
K2C,27941
H7M,27898
S4X,27895
N7S,27879
K6V,27782
R0K,27772
K9V,27760
N2L,27758
V3L,27724
Y1A,27672
R3J,27636
N6E,27508
J7N,27495
S6H,27471
T1H,27385
N5R,27368
H2S,27359
R0J,27342
N1G,27330
J5Z,27327
J5A,27312
J1H,27256
N2K,27253
S7N,27214
P3E,27210
V6G,27198
K8V,27192
H1Y,27172
L1E,27117
A1E,27115
G1E,27071
H4R,27065
K2M,27028
B0W,26951
N6J,26943
K1J,26931
V6E,26907
L3M,26845
R0L,26815
T9H,26732
J7T,26699
N3C,26662
V7A,26618
V7L,26608
J4Z,26576
H2J,26559
M4S,26506
R2J,26499
M5R,26496
N2N,26490
J8V,26483
H4A,26453
V6K,26424
T8L,26423
K2H,26402
H7E,26385
N7T,26347
T2N,26342
T5H,26290
V5E,26272
H7X,26124
L2G,26096
A2H,26092
A0K,26058
V0G,26047
T7Z,26014
M5M,25975
J3V,25953
J0V,25928
N8H,25905
J4K,25903
L8H,25892
V8V,25892
B0E,25881
J5W,25868
T5R,25867
G1X,25855
J3H,25815
L8W,25793
K8A,25771
N3S,25765
G1S,25741
H1S,25737
G7X,25725
K9A,25677
L2H,25616
R3G,25490
M3J,25473
H9H,25449
V1C,25413
T1A,25409
V9P,25359
V9Y,25269
N9A,25160
M9N,25074
V8N,25065
K1N,25063
M4E,25044
J3P,24977
J7Y,24934
L9A,24904
P0L,24896
L5W,24871
C1A,24839
J7P,24790
L9Y,24766
H4W,24742
N7L,24724
G1G,24695
